,,MSA,County,
40,,"Abilene, TX",Taylor County,
80,1692,"Akron, OH",Portage County,
,,,Summit County,
120,,"Albany, GA",Dougherty County,
,,,Lee County,
160,,"Albany/Schenectady/Troy, NY",Albany County,Saratoga County
,,,Montgomery County,Schenectady County
,,,Rensselaer County,Schoharie County
200,,"Albuquerque, NM",Bernalillo County,
,,,Sandoval County,
,,,Valencia County,
220,,"Alexandria, LA",Rapides Parish,
240,,"Allentown/Bethlehem/Easton, PA",Carbon County,
,,,Lehigh County,
,,,Northampton County,
280,,"Altoona, PA",Blair County,
320,,"Amarillo, TX",Potter County,
,,,Randall County,
380,,"Anchorage, AK",Anchorage Borough,
440,2162,"Ann Arbor, MI",Lenawee County,
,,,Livingston County,
,,,Washtenaw County,
450,,"Anniston, AL",Calhoun County,
460,,"Appleton/Oshkosh/Neenah, WI",Calumet County,
,,,Outagamie County,
,,,Winnebago County,
480,,"Asheville, NC",Buncombe County,
,,,Madison County,
500,,"Athens, GA",Clarke County,
,,,Madison County,
,,,Oconee County,
520,,"Atlanta, GA",Barrow County,Forsyth County
,,,Bartow County,Fulton County
,,,Carroll County,Gwinnett County
,,,Cherokee County,Henry County
,,,Clayton County,Newton County
,,,Cobb County,Paulding County
,,,Coweta County,Pickens County
,,,De Kalb County,Rockdale County
,,,Douglas County,Spalding County
,,,Fayette County,Walton County
560,6162,"Atlantic/Cape May, NJ",Atlantic County,
,,,Cape May County,
580,,"Auburn/Opelika, AL",Lee County,
600,,"Augusta/Aiken, GA/SC","Columbia County, GA","Aiken County, SC"
,,,"McDuffie County, GA","Edgefield County, SC"
,,,"Richmond County, GA",
640,,"Austin/San Marcos, TX",Bastrop County,Travis County
,,,Caldwell County,Williamson County
,,,Hays County,
680,,"Bakersfield, CA",Kern County,
720,8872,"Baltimore, MD",Anne Arundel County,Howard County
,,,Baltimore County,Queen Anne's
,,,Carroll County,      County
,,,Harford County,Baltimore city
730,,"Bangor, ME",Penobscot County,
,,,Waldo County,
740,,"Barnstable/Yarmouth, MA",Barnstable County,
760,,"Baton Rouge, LA",Ascension Parish,
,,,East Baton Rouge Parish,
,,,Livingston Parish,
,,,West Baton Rouge Parish,
840,,"Beaumont/Port Arthur, TX",Hardin County,
,,,Jefferson County,
,,,Orange County,
860,,"Bellingham, WA",Whatcom County,
870,,"Benton Harbor, MI",Berrien County,
875,5602,"Bergen/Passaic, NJ",Bergen County,
,,,Passaic County,
880,,"Billings, MT",Yellowstone County,
920,,"Biloxi/Gulfport/Pascagoula, MS",Hancock County,
,,,Harrison County,
,,,Jackson County,
960,,"Binghamton, NY",Broome County,
,,,Tioga County,
1000,,"Birmingham, AL",Blount County,St. Clair County
,,,Jefferson County,Shelby County
1010,,"Bismarck, ND",Burleigh County,
,,,Morton County,
1020,,"Bloomington, IN",Monroe County,
1040,,"Bloomington/Normal, IL",McLean County,
1080,,"Boise City, ID",Ada County,
,,,Canyon County,
1120,1122,"Boston, MA/NH",MA:,NH:
,,,Bristol County,Rockingham County
,,,Essex County,
,,,Middlesex County,
