"UYT","Metropolitan Statistical Area","2001","2002","2003","2004","2005","2006","2007"
"10180","Abilene, TX (Metropolitan Statistical Area)",30075,30758,32036,32701,32603,33978,34883
"10420","Akron, OH (Metropolitan Statistical Area)",38854,39974,40430,42078,42468,42081,42272
"10500","Albany, GA (Metropolitan Statistical Area)",31862,31996,32927,33473,34130,32658,31886
"10540","Albany, OR (Metropolitan Statistical Area)",29267,30212,29142,31205,30563,31331,29551
"10580","Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",48101,47603,48557,49246,49245,49549,48662
"10740","Albuquerque, NM (Metropolitan Statistical Area)",41925,41342,44033,47694,46659,45672,43993
"10780","Alexandria, LA (Metropolitan Statistical Area)",30227,31901,31366,31836,33624,33470,33803
"10900","Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",42179,42954,40775,40305,42054,42036,41590
"11020","Altoona, PA (Metropolitan Statistical Area)",32677,32989,34067,34418,35206,35502,35191
"11100","Amarillo, TX (Metropolitan Statistical Area)",34940,35854,36552,36800,36656,37902,38608
"11180","Ames, IA (Metropolitan Statistical Area)",39782,38835,39441,40484,41017,42288,42563
"11260","Anchorage, AK (Metropolitan Statistical Area)",57109,59131,58606,60780,62459,63231,65481
"11460","Ann Arbor, MI (Metropolitan Statistical Area)",57440,59788,60127,58784,59236,58696,59581
"11500","Anniston-Oxford-Jacksonville, AL (Metropolitan Statistical Area)",31081,30004,30795,32678,33175,32904,33965
"11540","Appleton, WI (Metropolitan Statistical Area)",44425,44280,45482,46538,46650,46174,46671
"11700","Asheville, NC (Metropolitan Statistical Area)",32695,33317,33896,34887,35586,36108,34572
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)",35828,35573,35857,35811,37204,36668,36651
"12060","Atlanta-Sandy Springs-Roswell, GA (Metropolitan Statistical Area)",57356,56424,56316,56654,57647,57101,57367
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",46112,46699,48476,51095,52832,53546,50529
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)",24731,25298,26058,28331,28453,29104,28514
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",35463,34965,35788,36485,36361,35488,34948
"12420","Austin-Round Rock, TX (Metropolitan Statistical Area)",47159,46373,47292,48659,50503,52823,52468
"12540","Bakersfield, CA (Metropolitan Statistical Area)",32234,34286,33454,33791,34440,35398,35719
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)",48696,49550,50173,51882,54012,54817,55395
"12620","Bangor, ME (Metropolitan Statistical Area)",35112,35700,34945,35963,36194,35987,35318
"12700","Barnstable Town, MA (Metropolitan Statistical Area)",41513,42846,44515,44852,44465,43362,41887
"12940","Baton Rouge, LA (Metropolitan Statistical Area)",44960,47795,51488,54789,60842,54918,52389
"12980","Battle Creek, MI (Metropolitan Statistical Area)",35359,38101,38204,38389,39019,38263,37705
"13020","Bay City, MI (Metropolitan Statistical Area)",27680,28765,29032,28460,28353,29213,28586
"13140","Beaumont-Port Arthur, TX (Metropolitan Statistical Area)",38567,39681,41762,47698,43326,45152,47748
"13220","Beckley, WV (Metropolitan Statistical Area)",29285,29095,27522,28141,29391,30054,28421
"13380","Bellingham, WA (Metropolitan Statistical Area)",36195,38405,40099,40806,48637,42514,41797
"13460","Bend-Redmond, OR (Metropolitan Statistical Area)",42721,44173,44483,43151,44215,45661,43180
"13740","Billings, MT (Metropolitan Statistical Area)",39657,40145,42899,44559,45057,44551,49598
"13780","Binghamton, NY (Metropolitan Statistical Area)",29741,30210,30280,30879,32013,32745,34214
"13820","Birmingham-Hoover, AL (Metropolitan Statistical Area)",45199,46784,47152,48557,48955,48258,48824
"13900","Bismarck, ND (Metropolitan Statistical Area)",39291,39713,41651,42022,42568,42186,42154
"13980","Blacksburg-Christiansburg-Radford, VA (Metropolitan Statistical Area)",30201,30398,31904,31954,32917,33541,34666
"14010","Bloomington, IL (Metropolitan Statistical Area)",51339,51273,51976,53323,51450,53953,52785
"14020","Bloomington, IN (Metropolitan Statistical Area)",35076,36613,36568,37344,37835,38833,38328
"14100","Bloomsburg-Berwick, PA (Metropolitan Statistical Area)",33023,34581,33695,34359,34453,35716,36242
"14260","Boise City, ID (Metropolitan Statistical Area)",39794,39910,40948,42122,43575,44461,43846
"14460","Boston-Cambridge-Newton, MA-NH (Metropolitan Statistical Area)",63732,63513,64920,67001,68311,69737,71887
"14500","Boulder, CO (Metropolitan Statistical Area)",58444,55842,57472,59594,60736,60366,62970
"14540","Bowling Green, KY (Metropolitan Statistical Area)",31959,32900,33467,33890,35464,35967,35363
"14740","Bremerton-Silverdale, WA (Metropolitan Statistical Area)",34729,36685,37439,37245,37975,37428,37057
"14860","Bridgeport-Stamford-Norwalk, CT (Metropolitan Statistical Area)",85219,83974,85169,87791,91939,93710,101678
"15180","Brownsville-Harlingen, TX (Metropolitan Statistical Area)",19982,20271,20196,20033,20262,20459,20221
"15260","Brunswick, GA (Metropolitan Statistical Area)",32087,32787,34570,36545,37577,37726,35869
"15380","Buffalo-Cheektowaga-Niagara Falls, NY (Metropolitan Statistical Area)",36850,38667,39250,40135,40669,41649,41061
"15500","Burlington, NC (Metropolitan Statistical Area)",33340,33687,32567,33230,32931,33183,31586
"15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)",43468,44375,47416,48779,49745,50756,49927
"15680","California-Lexington Park, MD (Metropolitan Statistical Area)",44062,45381,46993,46753,45308,46292,46335
"15940","Canton-Massillon, OH (Metropolitan Statistical Area)",34294,34831,35013,35546,35342,34044,33863
"15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)",36107,37347,39008,42671,43053,43703,40506
"16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)",32987,33998,35575,37656,38698,38211,40113
"16060","Carbondale-Marion, IL (Metropolitan Statistical Area)",30029,31295,31459,31491,32017,32835,32575
"16180","Carson City, NV (Metropolitan Statistical Area)",51421,52066,52905,53490,54666,55393,58647
"16220","Casper, WY (Metropolitan Statistical Area)",50669,52404,54010,57023,61954,74580,75603
"16300","Cedar Rapids, IA (Metropolitan Statistical Area)",45667,43553,46494,49555,50884,48951,53748
"16540","Chambersburg-Waynesboro, PA (Metropolitan Statistical Area)",27374,27473,28752,30515,31695,31995,31286
"16580","Champaign-Urbana, IL (Metropolitan Statistical Area)",38031,39059,39390,39471,38913,39408,39434
"16620","Charleston, WV (Metropolitan Statistical Area)",51069,51833,51323,52287,53345,54480,54969
"16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)",38570,40521,42227,42164,43514,43262,44455
"16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)",53524,55014,55378,55897,59214,61110,57289
"16820","Charlottesville, VA (Metropolitan Statistical Area)",40076,41445,42142,43619,45399,45681,45512
"16860","Chattanooga, TN-GA (Metropolitan Statistical Area)",39676,39453,39986,40576,40820,41782,42169
"16940","Cheyenne, WY (Metropolitan Statistical Area)",41552,43188,45053,47040,48149,52382,53604
"16980","Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",54771,54744,55273,56507,57608,58717,59240
"17020","Chico, CA (Metropolitan Statistical Area)",28346,29194,29315,29691,29842,29690,29841
"17140","Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",48023,49049,49333,50191,51401,50907,50635
"17300","Clarksville, TN-KY (Metropolitan Statistical Area)",30825,32134,33666,35465,37354,38687,36129
"17420","Cleveland, TN (Metropolitan Statistical Area)",30971,31771,31337,32299,31377,30499,29189
"17460","Cleveland-Elyria, OH (Metropolitan Statistical Area)",48438,49283,50710,52054,52878,53005,54172
"17660","Coeur d'Alene, ID (Metropolitan Statistical Area)",30303,30984,30958,31976,33508,33975,34316
"17780","College Station-Bryan, TX (Metropolitan Statistical Area)",28982,28747,29570,30254,30689,30976,31009
"17820","Colorado Springs, CO (Metropolitan Statistical Area)",40158,40579,40592,41165,42370,40979,40729
"17860","Columbia, MO (Metropolitan Statistical Area)",43351,43155,42776,42667,43043,42726,41135
"17900","Columbia, SC (Metropolitan Statistical Area)",41220,41826,42777,43492,43590,44246,44206
"17980","Columbus, GA-AL (Metropolitan Statistical Area)",36110,36480,38763,38229,38030,37800,37800
"18020","Columbus, IN (Metropolitan Statistical Area)",48399,47888,48729,52176,53085,55896,58588
"18140","Columbus, OH (Metropolitan Statistical Area)",50083,50741,51448,52974,53361,53103,52681
"18580","Corpus Christi, TX (Metropolitan Statistical Area)",40525,40822,41904,45049,42413,42865,44711
"18700","Corvallis, OR (Metropolitan Statistical Area)",30658,34237,38690,46110,45345,51470,53151
"18880","Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",41537,46619,48024,54241,53747,52594,52730
"19060","Cumberland, MD-WV (Metropolitan Statistical Area)",27329,28498,28617,28015,28163,27017,25436
"19100","Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",57092,57376,55578,55928,56823,58092,58324
"19140","Dalton, GA (Metropolitan Statistical Area)",59199,60161,58227,48506,46749,45014,43831
"19180","Danville, IL (Metropolitan Statistical Area)",29483,29451,31473,32215,31677,32500,31196
